evidence_family,platform,model_name,model_version,rows,task_score_coverage,mean_task_accuracy,grounding_score_coverage,mean_contextual_grounding,mean_generation_latency_ms,evidence_status,model_id,model_revision,condition,relevance_coverage,mean_answer_relevance,faithfulness_coverage,mean_faithfulness,pass_rate,failure_rate,mean_question_to_response_ms,condition_id,mean_total_score,acceptable_decision_rate,forbidden_claim_rate,p50_question_to_response_ms,mean_gpu_peak_mib,mean_generation_ms,mean_retrieval_ms
week4_original_text_diagnostic,Aido_Humanoid,,,7,,2.7142857142857144,,3.857142857142857,,diagnostic_not_calibrated,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,,,,,,0.2857142857142857,0.7142857142857143,690.0213118571428,,,,,,,,
week4_original_text_diagnostic,Aido_Humanoid,,,7,,4.714285714285714,,5.0,,diagnostic_not_calibrated,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,,,,,,1.0,0.0,2451.4467670000004,,,,,,,,
week4_original_text_diagnostic,Aido_Humanoid,,,7,,4.285714285714286,,3.857142857142857,,diagnostic_not_calibrated,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,,,,,,1.0,0.0,2800.037520285714,,,,,,,,
week4_original_text_diagnostic,Aido_Rover,,,7,,3.4285714285714284,,5.0,,diagnostic_not_calibrated,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,,,,,,0.42857142857142855,0.5714285714285714,770.4125597142857,,,,,,,,
week4_original_text_diagnostic,Aido_Rover,,,7,,4.857142857142857,,5.0,,diagnostic_not_calibrated,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,,,,,,1.0,0.0,1874.0140665714284,,,,,,,,
week4_original_text_diagnostic,Aido_Rover,,,7,,3.857142857142857,,3.857142857142857,,diagnostic_not_calibrated,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,,,,,,0.8571428571428571,0.14285714285714285,1846.3431835714287,,,,,,,,
week4_original_text_diagnostic,Fari,,,7,,1.8571428571428572,,2.7142857142857144,,diagnostic_not_calibrated,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,,,,,,0.14285714285714285,0.8571428571428571,229.00127585714284,,,,,,,,
week4_original_text_diagnostic,Fari,,,7,,4.571428571428571,,5.0,,diagnostic_not_calibrated,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,,,,,,0.8571428571428571,0.14285714285714285,2317.4926475714283,,,,,,,,
week4_original_text_diagnostic,Fari,,,7,,4.428571428571429,,5.0,,diagnostic_not_calibrated,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,,,,,,1.0,0.0,2671.537663285714,,,,,,,,
week4_original_text_diagnostic,Senpai,,,7,,2.142857142857143,,3.2857142857142856,,diagnostic_not_calibrated,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,,,,,,0.0,1.0,284.13536185714287,,,,,,,,
week4_original_text_diagnostic,Senpai,,,7,,4.142857142857143,,5.0,,diagnostic_not_calibrated,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,,,,,,0.5714285714285714,0.42857142857142855,1514.6413708571429,,,,,,,,
week4_original_text_diagnostic,Senpai,,,7,,4.285714285714286,,5.0,,diagnostic_not_calibrated,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,,,,,,1.0,0.0,3217.660809285714,,,,,,,,
week4_original_text_diagnostic,Sentinel_Prime_AI,,,7,,3.857142857142857,,5.0,,diagnostic_not_calibrated,google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,,,,,,0.42857142857142855,0.5714285714285714,655.0737265714286,,,,,,,,
week4_original_text_diagnostic,Sentinel_Prime_AI,,,7,,4.428571428571429,,4.428571428571429,,diagnostic_not_calibrated,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,,,,,,0.8571428571428571,0.14285714285714285,1671.1707187142856,,,,,,,,
week4_original_text_diagnostic,Sentinel_Prime_AI,,,7,,4.285714285714286,,4.428571428571429,,diagnostic_not_calibrated,mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,,,,,,1.0,0.0,1871.582933,,,,,,,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,brightness_0.60,5.0,1.0,0.0,5694.240146,18407.0,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,clean,5.0,1.0,0.0,5961.0221595,18433.3,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,gaussian_noise_std_0.08,5.0,1.0,0.0,6051.9949505,18407.0,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,brightness_0.60,5.0,1.0,0.0,4337.5667705,14493.0,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,clean,5.0,1.0,0.0,4473.0439695000005,14493.0,,
week4_vlm_diagnostic,Aido_Rover,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,gaussian_noise_std_0.08,5.0,1.0,0.0,4500.563737,14493.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,brightness_0.60,4.5,0.8,0.0,6612.459197,18407.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,clean,4.8,0.9,0.0,6883.2752055,18407.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,HuggingFaceM4/idefics2-8b-chatty,8e65868b394317b973bd61db3b08e6478ebeedbf,,,,,,,,,gaussian_noise_std_0.08,4.6,0.8,0.1,6289.738488999999,18407.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,brightness_0.60,4.4,0.8,0.0,4301.9112915000005,14493.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,clean,4.6,0.8,0.0,4366.8970215,14493.0,,
week4_vlm_diagnostic,Sentinel_Prime_AI,,,10,,,,,,diagnostic_not_calibrated,llava-hf/llava-1.5-7b-hf,b234b804b114d9e37bb655e11cbbb5f5e971b7a9,,,,,,,,,gaussian_noise_std_0.08,4.7,0.9,0.0,4429.080822,14493.0,,
week4_rag_measured_performance,Fari,,,20,,,,,,measured_A40_component_performance,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,base,,,,,,,1253.8939378999999,,,,,384.45784749999996,21984.5,1251.8107767,
week4_rag_measured_performance,Fari,,,20,,,,,,measured_A40_component_performance,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,rag,,,,,,,10453.032288999999,,,,,9928.907858,22052.45,9444.4112024,995.8766877
week4_rag_measured_performance,Senpai,,,20,,,,,,measured_A40_component_performance,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,base,,,,,,,489.06602730000003,,,,,385.9982165,22419.0,487.01683249999996,
week4_rag_measured_performance,Senpai,,,20,,,,,,measured_A40_component_performance,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,rag,,,,,,,9507.66901625,,,,,7625.561035000001,22419.0,8540.4314226,954.92379165
